Nodes      DER0                  Collisions          OverallEnergy          Delay
100 0.9990824635852735 4 420033.5437665776 9366.98368
1000 0.9947535072919315 234 1993481.169018751 40244.75007999967
1000 0.9947587162318171 229 1908048.2988115496 40244.75007999967
100 0.9990826740052746 4 453325.3284504417 9366.98368
100 0.9992932862190813 3 439111.92064686294 9366.98368
100 0.9993041864780239 3 338937.4777430049 9366.98368
10 1.0 0 6055.0924778172 311.16800000000006
10 1.0 0 6653.3426005602905 311.16800000000006
100 0.9995297437103221 2 324705.70580135885 9366.98368
1000 0.994866409987166 217 2078914.5031935796 40244.75007999967
100 0.9995347214144469 2 59067.75703292407 2857.0879999999993
100 0.9982808022922636 8 64287.982412492645 2857.0879999999993
100 0.9989494572195634 4 59055.197118185206 2857.0879999999993
