x,y,sf,cf,rx
9.51727,8.99097,7,1,-52.1658176713333
10.9773,-7.15517,7,2,-52.1775483256971
-7.92279,13.8941,7,3,-55.1124765684803
-16.2519,-2.13894,7,4,-55.4846918196056
-33.6796,8.88927,7,5,-67.5964515000772
-4.99377,41.219,7,6,-70.5302649381773
42.2586,6.54801,7,7,-71.0249793138433
-42.8811,1.02871,7,8,-71.076146558658
7.57061,45.2059,7,1,-72.1911705576298
13.0092,-52.3656,7,2,-74.9425361843834
3.06554,56.5135,7,3,-75.7500442803401
19.4807,68.2318,7,4,-79.5837699009028
54.5986,45.8516,7,5,-79.6648377011289
-32.8169,-67.8536,7,6,-80.6091280066156
-73.7802,18.4788,7,7,-80.7631798103546
59.0064,-55.8864,7,8,-81.8902228012665
82.8075,20.287,7,1,-82.7046113448392
-56.1214,-64.9465,7,2,-82.8197371682029
-15.0249,-85.3235,7,3,-82.9778619349694
73.9017,50.0066,7,4,-83.4801153432292
-23.3115,88.1595,7,5,-83.8498105497416
-70.7331,-58.8064,7,6,-83.9978338488366
92.7071,13.5396,7,7,-84.3105769190601
-3.3464,-95.4888,7,8,-84.6448242274701
93.2907,-36.6359,7,1,-85.459307494891
-4.47256,101.508,7,2,-85.6923247430915
62.2904,-82.3216,7,3,-85.9628693740911
99.9349,-30.8971,7,4,-86.1875106094626
-100.809,36.4063,7,5,-86.6027063168194
-59.7974,-89.5805,7,6,-86.685782615655
44.1235,-98.6135,7,7,-86.7378708677929
100.339,43.7808,7,8,-86.9635618313288
-19.9414,117.277,7,1,-88.3805259926223
-104.748,58.4956,7,2,-88.525316424666
59.4429,-108.373,7,3,-89.0338037106136
98.5251,79.363,7,4,-89.4305908743097
-55.7959,-114.363,7,5,-89.5293547120471
1.38229,128.315,7,6,-89.6727921294912
19.6014,-129.337,7,7,-90.0008781536913
95.2788,-93.1838,7,8,-90.3184556309478
-122.375,52.8356,7,1,-90.32132374195
112.353,78.4957,7,2,-90.7964821408471
133.296,37.5349,7,3,-90.9726778428907
-126.584,-73.5461,7,4,-91.921754621862
-143.903,-29.029,7,5,-91.9687002410542
-75.5811,129.252,7,6,-92.3056501974574
-54.9867,-139.429,7,7,-92.3229181376263
-146.002,-45.4936,7,8,-92.6663403218464
-143.665,54.4039,7,1,-92.743789679712
139.29,65.5426,7,2,-92.7792051067011
-28.0885,154.288,7,3,-93.0960731524166
-88.401,130.369,7,4,-93.171083785051
-81.5812,-136.469,7,5,-93.3307615724153
73.5605,141.505,7,6,-93.3831230413032
134.814,-86.384,7,7,-93.4507178001621
156.38,37.0217,7,8,-93.5131899396113
146.584,-68.0438,7,1,-93.609015737783
-72.1002,-144.809,7,2,-93.6257532636709
-85.1331,-137.993,7,3,-93.6653415944564
