Nodes            DER0                         Collisions  OverallEnergy             Delay           STD_delay   SF7   SF8  SF9  SF10  SF11  SF12
1000 0.9941731312731883 250 2079275.480934217 40244.75007999966 34355.12755046577 470 258 143 71 35 23
1000 0.9942713637626146 248 1908068.9092105073 40244.75007999966 34355.12755046577 470 258 143 71 35 23
100 0.999532273152479 2 166603.544456314 5699.617280000001 5070.085359342625 51 23 13 5 4 4
100 0.9988453989146749 6 208820.53593903824 5699.617280000001 5070.085359342625 51 23 13 5 4 4
100 0.9988291769113687 5 229885.09173054996 5699.617280000001 5070.085359342625 51 23 13 5 4 4
100 0.9990949202398461 4 234600.58805728657 5699.617280000001 5070.085359342625 51 23 13 5 4 4
100 0.9989520260829063 4 199440.59276822794 5699.617280000001 5070.085359342625 51 23 13 5 4 4
100 0.9995382128838606 2 213447.9859061149 5699.617280000001 5070.085359342625 51 23 13 5 4 4
100 0.9997696383321816 1 160051.90715948775 4174.40512 3671.95825603105 48 25 15 7 3 2
249 0.9984133650660321 17 477771.5416936803 10165.82991164659 8826.990191936875 118 64 35 17 9 6
749 0.9956116630869787 142 1551205.706641613 30201.046643524518 25843.526742792375 352 194 107 53 26 17
1000 0.9940492601782924 260 1865129.3208033035 40244.75007999966 34355.12755046577 470 258 143 71 35 23
2500 0.9846817233292091 1667 4550826.657589399 100542.9740544004 85882.71931217157 1175 646 357 177 88 57
