x,y,sf,cf,rx
10.9773,-7.15517,7,6,-52.1775483256971
-7.92279,13.8941,7,6,-55.1124765684803
7.57061,45.2059,7,6,-72.1911705576298
13.0092,-52.3656,7,2,-74.9425361843834
19.4807,68.2318,7,4,-79.5837699009028
54.5986,45.8516,7,8,-79.6648377011289
-32.8169,-67.8536,7,8,-80.6091280066156
59.0064,-55.8864,7,4,-81.8902228012665
-56.1214,-64.9465,7,1,-82.8197371682029
-15.0249,-85.3235,7,7,-82.9778619349694
92.7071,13.5396,7,7,-84.3105769190601
-3.3464,-95.4888,7,7,-84.6448242274701
93.2907,-36.6359,7,7,-85.459307494891
44.1235,-98.6135,7,6,-86.7378708677929
-104.748,58.4956,7,3,-88.525316424666
59.4429,-108.373,7,5,-89.0338037106136
95.2788,-93.1838,7,1,-90.3184556309478
-122.375,52.8356,7,1,-90.32132374195
112.353,78.4957,7,3,-90.7964821408471
139.29,65.5426,7,6,-92.7792051067011
-88.401,130.369,7,6,-93.171083785051
73.5605,141.505,7,1,-93.3831230413032
134.814,-86.384,7,8,-93.4507178001621
146.563,-79.7231,7,8,-94.1534167807409
60.9222,-161.358,7,3,-94.7204348681353
93.0417,145.86,7,7,-94.7730781288093
-126.423,-119.147,7,1,-94.8432162721212
-136.456,109.582,7,5,-94.9695031764687
148.553,97.1419,7,8,-95.2103119572752
26.3425,175.734,7,5,-95.229756636836
-4.04598,189.273,7,2,-96.3114690713924
-193.57,-4.39208,7,1,-96.6953917905741
-171.845,90.4745,7,7,-96.7471082197647
-178.285,-84.0376,7,8,-96.9995586053173
141.98,-140.067,7,4,-97.2014415988832
-126.72,154.911,7,5,-97.2609868732785
6.13194,200.329,7,2,-97.2852455919172
-166.898,-117.99,7,6,-97.6203278559811
13.3598,-204.601,7,1,-97.6740247081638
2.93595,-205.755,7,8,-97.7355012301031
-121.642,166.464,7,5,-97.7683770555917
181.78,102.157,7,6,-97.9616813325566
-170.683,119.918,7,8,-97.9681599523329
200.389,62.2364,7,8,-98.0688726815298
74.7123,-196.229,7,7,-98.0802378798004
5.3659,210.038,7,6,-98.0912755605346
-13.099,210.694,7,3,-98.1719247341195
-154.766,-145.066,7,1,-98.2545387466248
-140.475,-168.167,7,2,-98.8088216776453
10.3458,-219.459,7,7,-98.8542308441073
206.175,-86.4804,7,6,-99.152924287458
190.482,117.519,7,3,-99.1712096303063
180.632,-133.641,7,4,-99.2380867898676
226.084,4.96443,7,1,-99.3474916812389
-208.306,100.65,7,5,-99.7365928216081
-212.703,-103.019,7,7,-100.101180217246
-40.2358,236.804,7,6,-100.378001063106
73.1526,228.976,7,7,-100.39076401079
141.909,197.586,7,4,-100.594865777593
105.814,219.316,7,2,-100.611842257646
55.4758,238.257,7,5,-100.69041165418
-94.6303,-229.822,7,2,-100.961457448745
-234.044,89.7485,7,3,-101.1065885514
-144.769,208.639,7,8,-101.328964960884
34.5341,253.093,7,6,-101.429111269538
138.426,-217.904,7,2,-101.609874740461
-181.363,-188.239,7,8,-101.822898339539
185.458,-191.048,7,1,-102.138068842501
194.643,182.508,7,5,-102.174273730771
-147.663,-225.244,7,2,-102.334077775113
132.044,-235.82,7,8,-102.393641526728
